Country,Year,GDP_per_capita
SampleCountry,1962,4531.03220675893
SampleCountry,1961,2022
SampleCountry,1962,5365.48934672897
SampleCountry,1961,2023
SampleCountry,1962,5460.42823730592
SampleCountry,1961,2024
SampleCountry,1962,5370.77862312929
SampleCountry,1961,2025
SampleCountry,1962,6413.28328605026
SampleCountry,1961,2026
SampleCountry,1962,6846.42614266044
SampleCountry,1961,2027
SampleCountry,1962,8575.17113446213
SampleCountry,1961,1974
SampleCountry,1962,3935.41127779609
SampleCountry,1961,1975
SampleCountry,1962,4169.69537103885
SampleCountry,1961,1976
SampleCountry,1962,4940.29696239207
SampleCountry,1961,1977
SampleCountry,1962,6151.02717030722
SampleCountry,1961,1978
SampleCountry,1962,7139.5745119838
SampleCountry,1961,1979
SampleCountry,1962,7925.41577090452
SampleCountry,1961,1980
SampleCountry,1962,7721.28858646797
SampleCountry,1961,1981
SampleCountry,1962,8167.92286159334
SampleCountry,1961,1982
SampleCountry,1962,9409.50851272793
SampleCountry,1961,1983
SampleCountry,1962,11996.4072860354
SampleCountry,1961,1984
SampleCountry,1962,12474.9252919904
SampleCountry,1961,1985
SampleCountry,1962,10465.2604643624
SampleCountry,1961,1986
SampleCountry,1962,9697.52201994133
SampleCountry,1961,1987
SampleCountry,1962,8082.09152017435
SampleCountry,1961,1988
SampleCountry,1962,7808.13002713549
SampleCountry,1961,1989
SampleCountry,1962,7911.98436223964
SampleCountry,1961,1990
SampleCountry,1962,10539.1177869653
SampleCountry,1961,1991
SampleCountry,1962,12828.1519430152
SampleCountry,1961,1992
SampleCountry,1962,14599.0355178798
SampleCountry,1961,1993
SampleCountry,1962,15714.9265516576
SampleCountry,1961,1994
SampleCountry,1962,19563.6574722488
SampleCountry,1961,1995
SampleCountry,1962,19533.2620668023
SampleCountry,1961,1996
SampleCountry,1962,20099.5352208543
SampleCountry,1961,1997
SampleCountry,1962,15916.8395162087
SampleCountry,1961,1998
SampleCountry,1962,15748.5307503373
SampleCountry,1961,1999
SampleCountry,1962,18443.2545197741
SampleCountry,1961,2000
SampleCountry,1962,19130.1597151312
SampleCountry,1961,2001
SampleCountry,1962,18247.9995651361
SampleCountry,1961,2002
SampleCountry,1962,18536.5084282698
SampleCountry,1961,2003
SampleCountry,1962,18875.2883698571
SampleCountry,1961,2004
SampleCountry,1962,21810.2487431414
SampleCountry,1961,2005
SampleCountry,1962,23511.2951475737
SampleCountry,1961,2006
SampleCountry,1962,26528.130158144
SampleCountry,1961,2007
SampleCountry,1962,34063.5784034776
SampleCountry,1961,2008
SampleCountry,1962,39021.1278101878
SampleCountry,1961,2009
SampleCountry,1962,40829.801876968
SampleCountry,1961,2010
SampleCountry,1962,43467.2109930745
SampleCountry,1961,2011
SampleCountry,1962,48336.2283329823
SampleCountry,1961,2012
SampleCountry,1962,49132.515707808
SampleCountry,1961,2013
SampleCountry,1962,43975.0183668093
SampleCountry,1961,2014
SampleCountry,1962,42746.8309526019
SampleCountry,1961,2015
SampleCountry,1962,46657.1561173756
SampleCountry,1961,2016
SampleCountry,1962,41500.5435791686
SampleCountry,1961,2017
SampleCountry,1962,42470.3161159692
SampleCountry,1961,2018
SampleCountry,1962,44369.659691379
SampleCountry,1961,2019
SampleCountry,1962,38654.9347203095
SampleCountry,1961,2020
SampleCountry,1962,40129.8192007698
SampleCountry,1961,2021
SampleCountry,1962,40672.9943348258
SampleCountry,1961,2022
SampleCountry,1962,42819.7745797624
SampleCountry,1961,2023
SampleCountry,1962,41257.8045846483
SampleCountry,1961,2024
SampleCountry,1962,37361.0900666982
SampleCountry,1961,2025
SampleCountry,1962,42425.6996756291
SampleCountry,1961,2026
SampleCountry,1962,42414.0590092117
SampleCountry,1961,2027
SampleCountry,1962,46812.4484486309
SampleCountry,1961,1965
SampleCountry,1962,212.889661030777
SampleCountry,1961,1966
SampleCountry,1962,210.805413565609
SampleCountry,1961,1967
SampleCountry,1962,225.80062890304
SampleCountry,1961,1968
SampleCountry,1962,243.89743062669
SampleCountry,1961,1969
SampleCountry,1962,256.180140917429
SampleCountry,1961,1970
SampleCountry,1962,263.950839306074
SampleCountry,1961,1971
SampleCountry,1962,276.932974446022
SampleCountry,1961,1972
SampleCountry,1962,307.53680094407
SampleCountry,1961,1973
SampleCountry,1962,329.431422561081
SampleCountry,1961,1974
SampleCountry,1962,357.694745003862
SampleCountry,1961,1975
SampleCountry,1962,402.795034966669
SampleCountry,1961,1976
SampleCountry,1962,470.195593028007
SampleCountry,1961,1977
SampleCountry,1962,602.466748038646
SampleCountry,1961,1978
SampleCountry,1962,1124.96681728193
SampleCountry,1961,1979
SampleCountry,1962,1205.47381716898
SampleCountry,1961,1980
SampleCountry,1962,1458.14400589238
SampleCountry,1961,1981
SampleCountry,1962,1630.35982363709
SampleCountry,1961,1982
SampleCountry,1962,1728.20571012122
SampleCountry,1961,1983
SampleCountry,1962,2251.50602097583
SampleCountry,1961,1984
SampleCountry,1962,2954.04919644694
SampleCountry,1961,1985
SampleCountry,1962,2911.00787230798
SampleCountry,1961,1986
SampleCountry,1962,2640.58578642121
SampleCountry,1961,1987
SampleCountry,1962,2417.32459216364
SampleCountry,1961,1988
SampleCountry,1962,2357.26890873161
SampleCountry,1961,1989
SampleCountry,1962,2247.92745729704
SampleCountry,1961,1990
SampleCountry,1962,2042.58558471516
SampleCountry,1961,1991
SampleCountry,1962,2108.58585970919
SampleCountry,1961,1992
SampleCountry,1962,2042.05761626286
SampleCountry,1961,1993
SampleCountry,1962,2117.75262429459
SampleCountry,1961,1994
SampleCountry,1962,2875.25714161315
SampleCountry,1961,1995
SampleCountry,1962,2048.80975490464
SampleCountry,1961,1996
SampleCountry,1962,1996.37756446941
SampleCountry,1961,1997
SampleCountry,1962,1987.85773364854
SampleCountry,1961,1998
SampleCountry,1962,2018.68579956117
SampleCountry,1961,1999
SampleCountry,1962,2081.02071196868
SampleCountry,1961,2000
SampleCountry,1962,2193.87330891974
SampleCountry,1961,2001
SampleCountry,1962,2305.6160606318
SampleCountry,1961,2002
SampleCountry,1962,2192.61188801001
SampleCountry,1961,2003
SampleCountry,1962,2378.95049111508
SampleCountry,1961,2004
SampleCountry,1962,2664.16579571489
SampleCountry,1961,2005
SampleCountry,1962,2536.711964719
SampleCountry,1961,2006
SampleCountry,1962,2483.10723424941
SampleCountry,1961,2007
SampleCountry,1962,2696.67230474801
SampleCountry,1961,2008
SampleCountry,1962,3133.73687664723
SampleCountry,1961,2009
SampleCountry,1962,3750.50855449002
SampleCountry,1961,2010
SampleCountry,1962,4355.08762186879
SampleCountry,1961,2011
SampleCountry,1962,4940.7022651172
SampleCountry,1961,2012
SampleCountry,1962,6091.93206445673
SampleCountry,1961,2013
SampleCountry,1962,5134.45006055159
SampleCountry,1961,2014
SampleCountry,1962,5928.30479005386
SampleCountry,1961,2015
SampleCountry,1962,6883.37402358513
SampleCountry,1961,2016
SampleCountry,1962,7336.19770815465
SampleCountry,1961,2017
SampleCountry,1962,7311.29675508094
SampleCountry,1961,2018
SampleCountry,1962,7259.93672933779
SampleCountry,1961,2019
SampleCountry,1962,6203.70263640435
SampleCountry,1961,2020
SampleCountry,1962,5957.05983659325
SampleCountry,1961,2021
SampleCountry,1962,6005.39012863954
SampleCountry,1961,2022
SampleCountry,1962,6576.51663083912
SampleCountry,1961,2023
SampleCountry,1962,6525.21184312385
SampleCountry,1961,2024
SampleCountry,1962,5648.34111789395
SampleCountry,1961,2025
SampleCountry,1962,6445.80726093411
SampleCountry,1961,2026
SampleCountry,1962,7658.40646973315
SampleCountry,1961,2027
SampleCountry,1962,7292.21040780618
SampleCountry,1961,1974
SampleCountry,1962,2394.06811471055
SampleCountry,1961,1975
SampleCountry,1962,2805.42642722587
SampleCountry,1961,1976
SampleCountry,1962,3675.41681419534
SampleCountry,1961,1977
SampleCountry,1962,9695.81418807304
SampleCountry,1961,1978
SampleCountry,1962,23822.9715560307
SampleCountry,1961,1979
SampleCountry,1962,27117.1880729614
SampleCountry,1961,1980
SampleCountry,1962,31196.9791785759
SampleCountry,1961,1981
SampleCountry,1962,35020.3604355962
SampleCountry,1961,1982
SampleCountry,1962,29379.1277424991
SampleCountry,1961,1983
SampleCountry,1962,34238.2864453187
SampleCountry,1961,1984
SampleCountry,1962,42925.2338784407
SampleCountry,1961,1985
SampleCountry,1962,44854.4800315615
SampleCountry,1961,1986
SampleCountry,1962,39972.4946674594
SampleCountry,1961,1987
SampleCountry,1962,34650.0041245988
SampleCountry,1961,1988
SampleCountry,1962,32012.3141540273
SampleCountry,1961,1989
SampleCountry,1962,29467.5419758929
SampleCountry,1961,1990
SampleCountry,1962,23132.0739675988
SampleCountry,1961,1991
SampleCountry,1962,23112.623420646
SampleCountry,1961,1992
SampleCountry,1962,21569.7068852997
SampleCountry,1961,1993
SampleCountry,1962,23166.7305903787
SampleCountry,1961,1994
SampleCountry,1962,26709.993440327
SampleCountry,1961,1995
SampleCountry,1962,25690.9686321448
SampleCountry,1961,1996
SampleCountry,1962,25648.2727760844
SampleCountry,1961,1997
SampleCountry,1962,25032.7822702907
SampleCountry,1961,1998
SampleCountry,1962,25472.6396578979
SampleCountry,1961,1999
SampleCountry,1962,27003.2006807782
SampleCountry,1961,2000
SampleCountry,1962,28323.1650870532
SampleCountry,1961,2001
SampleCountry,1962,27982.7957040564
SampleCountry,1961,2002
SampleCountry,1962,24889.4269192279
SampleCountry,1961,2003
SampleCountry,1962,25855.8605046587
SampleCountry,1961,2004
SampleCountry,1962,29865.502347066
SampleCountry,1961,2005
SampleCountry,1962,27745.1708087672
SampleCountry,1961,2006
SampleCountry,1962,27753.6089526346
SampleCountry,1961,2007
SampleCountry,1962,29659.5428567811
SampleCountry,1961,2008
SampleCountry,1962,33376.7152295209
SampleCountry,1961,2009
SampleCountry,1962,38719.3138307623
SampleCountry,1961,2010
SampleCountry,1962,44342.6048322482
SampleCountry,1961,2011
SampleCountry,1962,45854.7325158162
SampleCountry,1961,2012
SampleCountry,1962,50054.1700681803
SampleCountry,1961,2013
SampleCountry,1962,37803.0663738777
SampleCountry,1961,2014
SampleCountry,1962,43696.6712597922
SampleCountry,1961,2015
SampleCountry,1962,50789.0505418347
SampleCountry,1961,2016
SampleCountry,1962,52034.4762466073
SampleCountry,1961,2017
SampleCountry,1962,52023.5170958751
SampleCountry,1961,2018
SampleCountry,1962,51381.4069909213
SampleCountry,1961,2019
SampleCountry,1962,43534.9972681733
SampleCountry,1961,2020
SampleCountry,1962,41326.4018161834
SampleCountry,1961,2021
SampleCountry,1962,42340.5917145576
SampleCountry,1961,2022
SampleCountry,1962,45689.8570040215
SampleCountry,1961,2023
SampleCountry,1962,44251.4541390148
SampleCountry,1961,2024
SampleCountry,1962,37173.8754100281
SampleCountry,1961,2025
SampleCountry,1962,43360.0211014806
SampleCountry,1961,2026
SampleCountry,1962,49899.0652978649
SampleCountry,1961,2027
SampleCountry,1962,49040.6947525825
SampleCountry,1961,1966
SampleCountry,1962,1160.30659798113
SampleCountry,1961,1967
SampleCountry,1962,852.972425139433
SampleCountry,1961,1968
SampleCountry,1962,1176.20086190313
SampleCountry,1961,1969
SampleCountry,1962,1281.83337976859
SampleCountry,1961,1970
SampleCountry,1962,1275.07843418966
SampleCountry,1961,1971
SampleCountry,1962,1063.93283833587
SampleCountry,1961,1972
SampleCountry,1962,1141.95211617341
SampleCountry,1961,1973
SampleCountry,1962,1329.56181832409
SampleCountry,1961,1974
SampleCountry,1962,1322.71454216808
SampleCountry,1961,1975
SampleCountry,1962,1372.50746646061
SampleCountry,1961,1976
SampleCountry,1962,1409.37097316211
SampleCountry,1961,1977
SampleCountry,1962,2097.89945010806
SampleCountry,1961,1978
SampleCountry,1962,2844.96990526761
SampleCountry,1961,1979
SampleCountry,1962,2026.68435752865
SampleCountry,1961,1980
SampleCountry,1962,1946.91990388248
SampleCountry,1961,1981
SampleCountry,1962,2126.48546048047
SampleCountry,1961,1982
SampleCountry,1962,3282.06304446289
SampleCountry,1961,1983
SampleCountry,1962,2511.97332905958
SampleCountry,1961,1984
SampleCountry,1962,2747.5022751674
SampleCountry,1961,1985
SampleCountry,1962,2764.08641421079
SampleCountry,1961,1986
SampleCountry,1962,2914.76708504176
SampleCountry,1961,1987
SampleCountry,1962,3537.7473459832
SampleCountry,1961,1988
SampleCountry,1962,3915.03492645691
SampleCountry,1961,1989
SampleCountry,1962,2905.77565536137
SampleCountry,1961,1990
SampleCountry,1962,3436.07819471053
SampleCountry,1961,1991
SampleCountry,1962,3477.30131979313
SampleCountry,1961,1992
SampleCountry,1962,3992.70330179156
SampleCountry,1961,1993
SampleCountry,1962,2374.57321551641
SampleCountry,1961,1994
SampleCountry,1962,4315.33329358672
SampleCountry,1961,1995
SampleCountry,1962,5709.24784079504
SampleCountry,1961,1996
SampleCountry,1962,6789.99611136495
SampleCountry,1961,1997
SampleCountry,1962,6931.85596375876
SampleCountry,1961,1998
SampleCountry,1962,7437.56242327594
SampleCountry,1961,1999
SampleCountry,1962,7357.6162773788
SampleCountry,1961,2000
SampleCountry,1962,7663.21271287469
SampleCountry,1961,2001
SampleCountry,1962,8146.78710021431
SampleCountry,1961,2002
SampleCountry,1962,8218.99212764682
SampleCountry,1961,2003
SampleCountry,1962,7705.54288252851
SampleCountry,1961,2004
SampleCountry,1962,7637.01489203628
SampleCountry,1961,2005
SampleCountry,1962,7141.47507662826
SampleCountry,1961,2006
SampleCountry,1962,2569.69963519124
SampleCountry,1961,2007
SampleCountry,1962,3320.47775133903
SampleCountry,1961,2008
SampleCountry,1962,4242.02099089422
SampleCountry,1961,2009
SampleCountry,1962,5067.65342293276
SampleCountry,1961,2010
SampleCountry,1962,5869.38028970204
SampleCountry,1961,2011
SampleCountry,1962,7185.25155147027
SampleCountry,1961,2012
SampleCountry,1962,8944.1102657357
SampleCountry,1961,2013
SampleCountry,1962,8150.23527028221
SampleCountry,1961,2014
SampleCountry,1962,10260.1313108254
SampleCountry,1961,2015
SampleCountry,1962,12704.2831819684
SampleCountry,1961,2016
SampleCountry,1962,12949.717486654
SampleCountry,1961,2017
SampleCountry,1962,12963.675773326
SampleCountry,1961,2018
SampleCountry,1962,12233.1444119186
SampleCountry,1961,2019
SampleCountry,1962,13679.6264980954
SampleCountry,1961,2020
SampleCountry,1962,12699.9623137756
SampleCountry,1961,2021
SampleCountry,1962,14532.5009308511
SampleCountry,1961,2022
SampleCountry,1962,11752.7998922979
SampleCountry,1961,2023
SampleCountry,1962,9955.97478680428
SampleCountry,1961,2024
SampleCountry,1962,8535.59938004389
SampleCountry,1961,2025
SampleCountry,1962,10738.0179223384
SampleCountry,1961,2026
SampleCountry,1962,13935.6811110049
SampleCountry,1961,2027
SampleCountry,1962,14187.4827252965
SampleCountry,1961,1994
SampleCountry,1962,635.355327502517
SampleCountry,1961,1995
SampleCountry,1962,572.740260900977
SampleCountry,1961,1996
SampleCountry,1962,356.350780006933
SampleCountry,1961,1997
SampleCountry,1962,347.870644720878
SampleCountry,1961,1998
SampleCountry,1962,390.879964297655
SampleCountry,1961,1999
SampleCountry,1962,443.924860857976
SampleCountry,1961,2000
SampleCountry,1962,487.068624404558
SampleCountry,1961,2001
SampleCountry,1962,505.035887057966
SampleCountry,1961,2002
SampleCountry,1962,590.239947333459
SampleCountry,1961,2003
SampleCountry,1962,582.669886150895
SampleCountry,1961,2004
SampleCountry,1962,593.450581742282
SampleCountry,1961,2005
SampleCountry,1962,659.588988535629
SampleCountry,1961,2006
SampleCountry,1962,742.651118319819
SampleCountry,1961,2007
SampleCountry,1962,882.030167695474
SampleCountry,1961,2008
SampleCountry,1962,1130.08791444158
SampleCountry,1961,2009
SampleCountry,1962,1557.48458908655
SampleCountry,1961,2010
SampleCountry,1962,2041.65267068997
SampleCountry,1961,2011
SampleCountry,1962,2962.70234594569
SampleCountry,1961,2012
SampleCountry,1962,3777.66859313767
SampleCountry,1961,2013
SampleCountry,1962,2820.5926553347
SampleCountry,1961,2014
SampleCountry,1962,3041.34450723339
SampleCountry,1961,2015
SampleCountry,1962,3349.55309771906
SampleCountry,1961,2016
SampleCountry,1962,3511.56399687426
SampleCountry,1961,2017
SampleCountry,1962,3680.16692158886
SampleCountry,1961,2018
SampleCountry,1962,3852.11800610384
SampleCountry,1961,2019
SampleCountry,1962,3512.39350276709
SampleCountry,1961,2020
SampleCountry,1962,3524.42476874707
SampleCountry,1961,2021
SampleCountry,1962,3869.05373867752
SampleCountry,1961,2022
SampleCountry,1962,4196.00562301769
SampleCountry,1961,2023
SampleCountry,1962,4597.22887399548
SampleCountry,1961,2024
SampleCountry,1962,4268.68093304583
SampleCountry,1961,2025
SampleCountry,1962,4685.17997128509
SampleCountry,1961,2026
SampleCountry,1962,6571.97445545099
SampleCountry,1961,2027
SampleCountry,1962,8053.01066312345
SampleCountry,1961,2006
SampleCountry,1962,8972.69636535698
SampleCountry,1961,2007
SampleCountry,1962,9197.66196836987
SampleCountry,1961,2008
SampleCountry,1962,8958.42866697173
SampleCountry,1961,2009
SampleCountry,1962,8831.26975996609
SampleCountry,1961,2010
SampleCountry,1962,8745.16621137404
SampleCountry,1961,2011
SampleCountry,1962,9231.37240924563
SampleCountry,1961,2012
SampleCountry,1962,10030.8089130902
SampleCountry,1961,2013
SampleCountry,1962,12156.0293905777
SampleCountry,1961,2014
SampleCountry,1962,10375.1720141957
SampleCountry,1961,2015
SampleCountry,1962,10383.459331451
SampleCountry,1961,2016
SampleCountry,1962,11745.4899153958
SampleCountry,1961,2017
SampleCountry,1962,11813.5022034589
SampleCountry,1961,2018
SampleCountry,1962,12026.3344929488
SampleCountry,1961,2019
SampleCountry,1962,12727.4102651386
SampleCountry,1961,2020
SampleCountry,1962,12843.3342903627
SampleCountry,1961,2021
SampleCountry,1962,11863.6839452565
SampleCountry,1961,2022
SampleCountry,1962,12552.0546868861
SampleCountry,1961,2023
SampleCountry,1962,12886.1359517218
SampleCountry,1961,2024
SampleCountry,1962,14489.2586563775
SampleCountry,1961,2025
SampleCountry,1962,15236.1604875571
SampleCountry,1961,2026
SampleCountry,1962,18017.4589383973
SampleCountry,1961,1981
SampleCountry,1962,1213.49623087746
SampleCountry,1961,1982
SampleCountry,1962,1374.70460247561
SampleCountry,1961,1983
SampleCountry,1962,1704.96911947576
SampleCountry,1961,1984
SampleCountry,1962,2052.93104863734
SampleCountry,1961,1985
SampleCountry,1962,2310.02517247008
SampleCountry,1961,1986
SampleCountry,1962,2568.8959778641
SampleCountry,1961,1987
SampleCountry,1962,2846.70816749543
SampleCountry,1961,1988
SampleCountry,1962,3270.43852829125
SampleCountry,1961,1989
SampleCountry,1962,3813.91284303455
SampleCountry,1961,1990
SampleCountry,1962,4629.05341086933
SampleCountry,1961,1991
SampleCountry,1962,5423.96304289151
SampleCountry,1961,1992
SampleCountry,1962,6465.80755503629
SampleCountry,1961,1993
SampleCountry,1962,7187.49543068532
SampleCountry,1961,1994
SampleCountry,1962,7590.34333226449
SampleCountry,1961,1995
